Price,,,,,
Date,Close,High,Low,Open,Volume
28/01/2022,167.5848389,167.6045207,160.1761991,163.039303,179935700
31/01/2022,171.9631042,172.1795598,166.7780356,167.4175687,115541600
01/02/2022,171.7958374,172.0221263,169.5329032,171.2055015,86213900
02/02/2022,173.0060272,173.045391,170.5364857,171.9335981,84914300
03/02/2022,170.1133881,173.3995691,169.3459604,171.6679252,89418100
04/02/2022,169.8277435,171.5123342,168.1431529,169.1282897,82465400
07/02/2022,169.1085663,171.3645227,168.4091126,170.2907273,77251200
08/02/2022,172.2314606,172.7437359,168.8819866,169.1775306,74829200
09/02/2022,173.6599274,174.0244232,172.3004337,173.4333501,71285000
10/02/2022,169.5617523,172.8718128,169.0002321,171.551733,90865900
11/02/2022,166.1334534,170.5074627,165.5423653,169.7686102,98670700
14/02/2022,166.3699188,167.0595116,164.0843941,164.8823525,86185500
15/02/2022,170.2217712,170.3793967,167.7195305,168.4288302,62527400
16/02/2022,169.9853516,170.763603,167.5225097,169.2957588,61177400
17/02/2022,166.3699188,169.3548823,165.9660091,168.4879571,69589300
18/02/2022,164.8133698,168.005203,163.7198674,167.2959184,82772700
22/02/2022,161.8777008,164.2124704,159.7399405,162.5278797,91162800
23/02/2022,157.6908569,163.6804755,157.3756059,163.0795415,90009200
24/02/2022,160.321167,160.4295326,149.7407924,150.3121736,141147500
25/02/2022,162.3997955,162.6657716,158.4789405,161.4047978,91974200
28/02/2022,162.6657715,162.9613155,160.0157513,160.6363922,95056600
01/03/2022,160.7743378,164.1238122,159.5626236,162.2520431,83474400
02/03/2022,164.0843964,164.8725089,160.5280516,161.9466511,79724800
03/03/2022,163.7593231,166.3994982,163.0894372,165.9660355,76678400
04/03/2022,160.7447815,163.0894121,159.6906929,162.0451694,83737200
07/03/2022,156.9322968,162.5672805,156.6761516,160.9319498,96418800
08/03/2022,155.0999603,160.4591076,153.4843364,156.4594541,131148300
09/03/2022,160.5280151,160.9811846,157.040638,159.079863,91454900
10/03/2022,156.1638947,158.0060957,153.6616387,157.8189173,105342000
11/03/2022,152.4302063,156.9125816,152.2036291,156.5677777,96970100
14/03/2022,148.3813019,151.8292807,147.8690416,149.1989672,108732100
15/03/2022,152.7848511,153.2577275,148.1448655,148.6571258,92964300
16/03/2022,157.2180023,157.6219121,152.16426,154.7157611,102300200
17/03/2022,158.232666,158.6070228,155.2871166,156.2525465,75615400
18/03/2022,161.5427551,162.0353236,157.3854759,158.1243287,123511700
21/03/2022,162.9219055,163.8774893,160.5871214,161.0796897,95811400
22/03/2022,166.310791,166.901864,162.4589028,163.0499758,81532000
23/03/2022,167.6801453,170.0740205,165.1581824,165.4931403,98062700
24/03/2022,171.4827576,171.5517093,167.6801292,168.5174864,90131400
25/03/2022,172.1230927,172.6747668,170.1823721,171.2955814,80546200
28/03/2022,172.9900513,173.1181088,169.4435523,169.6110238,90371900
29/03/2022,176.3000793,176.3493242,173.7190108,174.0638147,100589400
30/03/2022,175.1277618,176.9404098,174.0736583,175.8961673,92633200
31/03/2022,172.01474,175.3839061,171.8078546,175.1967277,103049300
01/04/2022,171.7191925,172.2807277,169.3844231,171.4433554,78751300
04/04/2022,175.787796,175.8370559,171.8472492,171.9753218,76468400
05/04/2022,172.4580231,175.6498713,171.8275362,174.861759,73401800
06/04/2022,169.2760468,171.0492959,167.6013173,169.798168,89058800
07/04/2022,169.5814514,170.7833195,167.3254947,168.6160215,77594700
08/04/2022,167.5619354,169.2268192,166.6851642,169.2268192,76575500
11/04/2022,163.2864227,166.5176702,163.0401385,166.2024342,72246700
12/04/2022,165.168045,167.345189,164.1632013,165.5226949,79265200
13/04/2022,167.8672943,168.4977812,164.2912582,164.9020381,70618900
14/04/2022,162.833252,168.7243807,162.5869678,168.0840328,75329400
18/04/2022,162.6165314,164.1237894,161.1388262,161.4836151,69023900
19/04/2022,164.9118805,165.3256511,161.473763,162.5672653,67723800
20/04/2022,164.7444305,166.3699154,163.6312361,166.2516887,67929800
21/04/2022,163.9464874,168.9805378,163.444073,166.3994838,87227800
22/04/2022,159.3852844,165.3749183,159.0996014,163.9858867,84882400
25/04/2022,160.4590759,160.744759,156.1047734,158.7252257,96046400
26/04/2022,154.4694366,159.9270873,154.3906239,159.8384286,95623200
27/04/2022,154.2428894,157.4150163,153.0705741,153.5926955,88063200
